"","year","age","education","jobclass","wage"
"2609",2009,31,4,1,109.833985642199
"2369",2008,47,4,2,276.778413321176
"1177",2008,30,2,2,79.8549003093467
"1098",2008,21,2,1,54.5981500331442
"1252",2008,30,5,2,154.072997206315
"634",2006,60,3,1,96.0316570194457
"2097",2006,35,4,2,109.833985642199
"1152",2003,48,2,2,70.4760196469445
"1327",2003,50,5,2,134.705375118879
"2072",2005,46,3,1,100.764272842107
"356",2003,33,5,2,120.589436530402
"1625",2005,36,2,1,62.198679430261
"165",2003,58,4,2,138.299126920883
"2670",2009,37,4,2,176.989650489877
"2458",2009,54,3,2,134.705375118879
"1903",2007,37,2,2,70.8150386167557
"899",2004,42,3,1,148.413159102577
"601",2005,43,2,2,90.4819133566401
"1307",2003,23,3,2,90.4819133566401
"932",2003,44,2,2,112.6488963421
"997",2006,62,1,1,81.2832532842527
"2015",2006,34,2,2,82.6796372966372
"621",2008,36,5,1,148.413159102577
"1541",2004,30,1,1,86.6951548289402
"860",2006,29,5,2,99.6894636984864
"259",2008,56,4,1,141.77517233318
"1338",2003,22,3,1,73.7757432746946
"481",2007,51,3,2,81.2832532842527
"1322",2005,44,2,1,118.884359339886
"2991",2009,50,2,1,132.487821126123
"299",2005,27,4,1,145.805163374625
"2454",2007,66,2,2,70.4760196469445
"2362",2007,56,4,2,142.457169885112
"1316",2008,47,2,2,87.9810327856054
"836",2009,68,4,2,118.019753340006
"982",2004,42,5,2,160.642475408263
"2194",2008,50,4,2,148.413159102577
"1372",2004,57,4,2,272.294783220064
"2245",2004,40,4,2,111.720849360989
"1540",2006,28,3,1,54.5981500331442
"2274",2009,48,2,2,118.884359339886
"2552",2003,25,2,1,86.6951548289402
"727",2005,43,4,2,100.764272842107
"945",2005,62,4,2,99.6894636984864
"626",2008,44,2,1,43.7351116779821
"262",2003,49,5,1,134.705375118879
"2438",2007,32,1,1,65.1108537153447
"130",2003,61,5,1,79.1280844956297
"1396",2003,62,3,1,94.0727147457005
"1027",2007,51,5,2,191.573683548412
"374",2004,43,4,2,272.294783220064
"2818",2009,54,3,1,99.6894636984864
"1015",2009,57,4,2,157.10350432345
"1894",2009,47,2,2,109.833985642199
"2746",2005,40,5,2,87.9810327856054
"650",2003,19,1,1,27.1405792079024
"2088",2004,45,3,2,99.6894636984864
"517",2006,53,3,2,99.6894636984864
"33",2008,33,5,1,81.2832532842527
"2957",2003,51,2,1,98.5993438603892
"103",2004,54,2,2,111.720849360989
"2996",2008,44,3,1,154.68529299563
"2157",2008,29,1,1,99.6894636984864
"1353",2008,53,3,2,179.528092196451
"1693",2003,47,3,1,84.0459576539924
"76",2003,44,5,2,99.6894636984864
"1801",2009,35,3,1,116.265324062503
"1515",2005,29,3,1,109.833985642199
"2781",2003,34,2,2,103.90247060316
"16",2009,51,3,1,90.4819133566401
"1381",2004,47,3,2,121.430313822622
"1349",2003,19,1,1,54.5981500331442
"988",2003,46,3,1,126.323880709786
"82",2004,61,3,1,106.723977625299
"1944",2008,57,4,1,138.610994032645
"1905",2007,56,3,2,99.6894636984864
"914",2005,56,4,1,118.884359339886
"325",2008,23,2,1,84.0459576539924
"1646",2005,40,3,2,91.6992261117042
"2344",2009,30,3,2,70.5134157015506
"149",2007,40,4,2,176.989650489877
"1593",2009,46,4,1,84.3157688645753
"100",2005,33,4,2,144.944364980516
"999",2008,40,3,2,87.9810327856054
"2346",2009,48,1,2,100.879460918798
"2450",2006,37,2,2,169.073540049428
"91",2004,47,4,2,131.224593755096
"2829",2004,25,1,1,82.6796372966372
"1078",2004,50,2,2,143.134940811134
"2899",2003,36,3,2,91.6992261117042
"2336",2006,62,2,2,101.82435207568
"720",2006,58,1,1,75.3556793180091
"1782",2006,50,2,1,59.0970640815891
"2108",2005,38,5,1,186.876677628007
"1309",2009,32,4,2,123.089699847943
"2897",2003,40,2,1,73.7757432746946
"1644",2005,43,1,2,65.1108537153447
"2425",2003,52,3,2,70.4760196469445
"1877",2003,46,3,1,106.723977625299
"2686",2005,43,5,2,277.601417511009
"427",2003,34,4,1,90.4819133566401
"2490",2005,44,5,2,68.7480877337669
"1136",2003,30,3,2,109.833985642199
